site_id,site_name,lat,lon,website,site_type,active
caerllan,Caerllan,52.1911753,-4.3966757,,chalet,True
calke_abbey,Calke Abbey,52.7997811,-1.4559112,https://www.nationaltrust.org.uk/calke-abbey,museum,True
calke_park,Calke Park,52.8032647,-1.460287,,park,True
canons_ashby_house,Canons Ashby House,52.1506877,-1.1587162,,attraction,True
captain_cook_s_monument,Captain Cook's Monument,52.0307847,-1.0142642,,attraction,True
captain_grenville_s_column,Captain Grenville's Column,52.0306791,-1.0149967,,attraction,True
carlyle_s_house,Carlyle's House,51.4841139,-0.1697922,https://www.nationaltrust.org.uk/carlyles-house,museum,True
carne_and_pendower_beach,Carne and Pendower Beach,50.2060623,-4.9403332,https://www.nationaltrust.org.uk/visit/cornwall/carne-and-pendower,,True
carriage_house,Carriage House,51.1467385,-3.9832718,,museum,True
castle_drogo,Castle Drogo,50.6958893,-3.8109415,https://www.nationaltrust.org.uk/visit/devon/castle-drogo,attraction,True
castlefield_viaduct_urban_park,Castlefield Viaduct Urban Park,53.4748347,-2.2571686,https://www.nationaltrust.org.uk/castlefield-viaduct,attraction,True
cerne_abbas_giant,Cerne Abbas Giant,50.8136714,-2.4747184,https://www.nationaltrust.org.uk/cerne-giant,attraction,True
charlecote_park,Charlecote Park,52.2051088,-1.6245944,https://www.nationaltrust.org.uk/charlecote-park/,park,True
chartwell,Chartwell,51.244358,0.0832977,https://www.nationaltrust.org.uk/visit/kent/chartwell,attraction,True
chastleton_house,Chastleton House,51.9596916,-1.6401677,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/chastleton,attraction,True
chedworth_roman_villa,Chedworth Roman Villa,51.8198823,-1.9244752,https://www.nationaltrust.org.uk/chedworth-roman-villa,archaeological_site,True
chedworth_roman_villa_museum,Chedworth Roman Villa museum,51.8198649,-1.9245256,,museum,True
cherryburn_thomas_bewick_museum,Cherryburn - Thomas Bewick Museum,54.9582463,-1.884642,https://www.nationaltrust.org.uk/cherryburn,museum,True
chirk_castle,Chirk Castle,52.9350385,-3.0896084,,castle,True
church_house,Church House,50.576647,-3.8114831,,museum,True
cissbury_ring,Cissbury Ring,50.8605199,-0.3832534,https://www.nationaltrust.org.uk/cissbury-ring/,archaeological_site,True
city_mill,City Mill,51.0611447,-1.307734,https://www.nationaltrust.org.uk/winchester-city-mill/,museum,True
claife_viewing_station,Claife Viewing Station,54.3510765,-2.9424009,https://www.nationaltrust.org.uk/claife-viewing-station-and-windermere-west-shore,building,True
clandon_park,Clandon Park,51.2511806,-0.5068763,https://www.nationaltrust.org.uk/visit/surrey/clandon-park,attraction,True
claydon_house,Claydon House,51.9218684,-0.955478,,attraction,True
cley_hill,Cley Hill,51.2046578,-2.2319293,,archaeological_site,True
clouds_hill,Clouds Hill,50.7180449,-2.2512653,https://www.nationaltrust.org.uk/clouds-hill/,attraction,True
clumber_park,Clumber Park,53.2644236,-1.0627449,,garden,True
clyston_mill,Clyston Mill,50.7659781,-3.4470707,https://www.nationaltrust.org.uk/clyston-mill,attraction,True
coaley_peak,Coaley Peak,51.7061651,-2.3015488,,nature_reserve,True
colby_walled_garden,Colby Walled Garden,51.7410983,-4.6697555,,garden,True
colby_woodland_garden,Colby Woodland Garden,51.7391719,-4.6704433,,garden,True
coleton_fishacre,Coleton Fishacre,50.3470857,-3.5342988,https://www.nationaltrust.org.uk/coleton-fishacre/,,True
compton_castle,Compton Castle,50.4724931,-3.6002655,,attraction,True
conwy_suspension_bridge,Conwy Suspension Bridge,53.2804429,-3.823797,,bridge,True
cookham_dean_common,Cookham Dean Common,51.5503669,-0.7539955,,common,True
copt_hall_marshes,Copt Hall Marshes,51.7902804,0.8767567,https://www.nationaltrust.org.uk/copt-hall-marshes,attraction,True
corfe_castle,Corfe Castle,50.6401909,-2.0594553,https://www.nationaltrust.org.uk/corfecastle,attraction,True
cotehele_house,Cotehele House,50.4959884,-4.2257396,,attraction,True
cotehele_house_and_mill,Cotehele House and Mill,50.4945986,-4.2302127,https://www.nationaltrust.org.uk/visit/cornwall/cotehele-mill,attraction,True
coughton_court,Coughton Court,52.2435735,-1.8796652,https://www.nationaltrust.org.uk/visit/warwickshire/coughton-court,attraction,True
cragside,Cragside,55.3136251,-1.8854355,https://www.nationaltrust.org.uk/visit/north-east/cragside,attraction,True
crickley_hill_country_park,Crickley Hill Country Park,51.8469994,-2.1027151,,archaeological_site,True
croft_castle,Croft Castle,52.2843769,-2.8085033,https://www.nationaltrust.org.uk/croftcastle,attraction,True
